date,title
2018-08-20 15:37:32+05:30,India: KIOCL Pellet Export Tender Fetches High Bids
2018-08-20 16:45:11+05:30,"SAIL Global Tender for Purchase of 6,740 MT Ferro Silicon"
2018-08-20 16:43:06+05:30,China Officially Initiates Second Round of Central Environmental Inspections
2018-08-20 17:36:44+05:30,United States: Ferrous Scrap Imports Fall Marginally in H1 2018
2018-08-20 18:03:06+05:30,Vietnam: Imported HRC Offers Move Up Following Hike in Chinese Domestic Prices
2018-08-20 17:34:37+05:30,Indian Iron Ore Movement Stable M-o-M in July'18
2018-08-20 18:48:06+05:30,Daily Update: Indian Semis Offers Decline
2018-08-20 19:10:31+05:30,Russia - Flat Steel Exports Decline 8% in H1CY18
2018-08-18 16:16:38+05:30,Bhushan Power and Steel: Iron Ore Sourcing Fall 35% in July’18
2018-08-18 16:33:55+05:30,"India: SAIL Concludes 4,000 MT Pig Iron Auction"
2018-08-18 16:44:04+05:30,Indian Steel Market Weekly Snapshot
2018-08-18 16:54:06+05:30,Russia: Ferrous Scrap Exports Rise 30% in H1 2018
2018-08-18 23:19:18+05:30,China Completes 80% of Steel De-capacity in 2018: NDRC
2018-08-20 09:31:26+05:30,China’s Baosteel and Fangda Carbon Join Hands to Set up A Graphite Electrode Plant in the Country
2018-08-20 11:25:57+05:30,South Korea Finish Long Export Up by 15% in July
2018-08-20 12:15:03+05:30,South Africa: Ferrous Scrap Exports Fall Marginally in H1 2018
2018-08-20 13:14:47+05:30,Japan: Tokyo Steel Keeps Steel Price Unchanged for 7th Consecutive Month
2018-08-20 15:12:21+05:30,India: XIndia Steels Resume Pellet Production
2018-08-20 15:13:05+05:30,Brazil Slab Exports Fall 27% in July 2018
2018-08-20 15:26:03+05:30,Japan: Kansai Scrap Export Tender for August Fetches Bid Up by USD 4
